;NAME;JOBREF;CORRSTARTTIME;CORRSTOPTIME;QTYGOOD;CORRSTARTDATE;CORRSTOPDATE
661;SP16-1 : 1175 x 576 : 115G : ST1 : 3D/3G/3B/12T : HA;532492;43099;43136;31.0;2018-10-05;2018-10-05
662;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;532826;26037;29623;24.0;2018-10-22;2018-10-22
663;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;533256;29623;34887;42.0;2018-10-22;2018-10-22
664;CF56S : 1130 x 540 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;532785;45842;49699;48.0;2018-10-22;2018-10-22
665;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;533063;49699;54939;46.0;2018-10-22;2018-10-22
666;CF76S : 1130 x 540 : H/H : 140G : ST1 : 3D/3F/2B/12T : 76SIL;533289;33949;42489;59.0;2018-10-24;2018-10-24
667;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;533267;42489;55800;78.0;2018-10-24;2018-10-24
668;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;533294;26332;30412;34.0;2018-10-29;2018-10-29
669;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;533245;37334;46750;80.0;2018-10-29;2018-10-29
670;BD30 : 1175 x 676 : H/H : 190M : ST1 : 3D/4F/4B/12T : SA;533559;39517;47337;48.0;2018-10-30;2018-10-30
671;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;533502;50647;52935;16.0;2018-10-31;2018-10-31
672;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;533506;52935;55800;15.0;2018-10-31;2018-10-31
673;CF36LM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;533273;25200;26779;49.0;2018-11-02;2018-11-02
674;CF36LM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;533273;26779;32383;0.0;2018-11-02;2018-11-02
675;CF36LM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;533273;36283;38547;49.0;2018-11-02;2018-11-02
676;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;533572;38547;46247;64.0;2018-11-02;2018-11-02
677;CF56S : 1130 x 540 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;533674;33870;41475;48.0;2018-11-05;2018-11-05
678;SW56-1 : 1375 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;533958;45716;48358;32.0;2018-11-05;2018-11-05
